epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,20874.9,0.81221,0.5076,1.00289,0.96939,0.9644,0.98382,0.83269,0.67929,0.33597,0.91813,0.00667789,0.00667789,0.00667789
120,21052,0.81038,0.49934,1.00226,0.96944,0.96438,0.98394,0.83372,0.67863,0.3354,0.91771,0.00662885,0.00662885,0.00662885
121,21229.6,0.80619,0.49497,1.00172,0.9697,0.9643,0.98399,0.83315,0.67817,0.33461,0.91751,0.00657963,0.00657963,0.00657963
122,21407.1,0.80616,0.49869,1.00211,0.96975,0.9642,0.98402,0.83385,0.67753,0.33425,0.91723,0.00653025,0.00653025,0.00653025
123,21584.8,0.80794,0.50181,1.00088,0.96964,0.96396,0.98417,0.8334,0.67725,0.33338,0.91704,0.00648071,0.00648071,0.00648071
124,21762.7,0.80514,0.50112,1.00051,0.97032,0.96402,0.98413,0.83462,0.67689,0.33248,0.91685,0.00643101,0.00643101,0.00643101
125,21940.3,0.8007,0.49142,0.998,0.97006,0.96386,0.9842,0.83372,0.67635,0.33191,0.91661,0.00638115,0.00638115,0.00638115
126,22117.6,0.80465,0.49711,1.00022,0.97,0.96386,0.98403,0.83372,0.67574,0.33095,0.91629,0.00633115,0.00633115,0.00633115
127,22295,0.79993,0.49297,0.99565,0.97005,0.96385,0.98406,0.83454,0.67494,0.33003,0.91602,0.00628101,0.00628101,0.00628101
128,22472.3,0.79876,0.48984,0.99727,0.97011,0.96374,0.98412,0.83508,0.67435,0.3291,0.9159,0.00623074,0.00623074,0.00623074
129,22649.8,0.79722,0.4908,0.99602,0.96994,0.96393,0.98413,0.83501,0.67386,0.32836,0.91569,0.00618034,0.00618034,0.00618034
130,22827.5,0.79346,0.49065,0.99424,0.97014,0.96394,0.98413,0.8352,0.67348,0.32769,0.91555,0.00612981,0.00612981,0.00612981
131,23004.9,0.79168,0.48705,0.99345,0.97033,0.96397,0.98421,0.83539,0.67308,0.32724,0.91536,0.00607916,0.00607916,0.00607916
132,23182.8,0.79138,0.48729,0.99428,0.97036,0.96392,0.98422,0.83587,0.67262,0.3269,0.91518,0.0060284,0.0060284,0.0060284
133,23360.6,0.79407,0.48878,0.99312,0.97024,0.96415,0.98458,0.83715,0.67206,0.32666,0.91495,0.00597754,0.00597754,0.00597754
134,23538.5,0.79119,0.4843,0.99225,0.96988,0.96441,0.98439,0.83756,0.67173,0.3262,0.91471,0.00592657,0.00592657,0.00592657
135,23716.2,0.78761,0.48501,0.99278,0.96987,0.96429,0.98436,0.83844,0.67116,0.32586,0.91449,0.00587551,0.00587551,0.00587551
136,23894.4,0.78407,0.48394,0.98864,0.96962,0.96439,0.98442,0.83866,0.67048,0.32534,0.91413,0.00582435,0.00582435,0.00582435
137,24073.1,0.78423,0.48005,0.9895,0.96998,0.96433,0.98448,0.83916,0.66997,0.32486,0.9139,0.00577311,0.00577311,0.00577311
138,24252,0.7842,0.47974,0.98934,0.9688,0.96602,0.98469,0.84022,0.66934,0.32445,0.91363,0.00572179,0.00572179,0.00572179
139,24431,0.77913,0.47562,0.98908,0.96906,0.96597,0.98472,0.84122,0.66889,0.32428,0.91341,0.0056704,0.0056704,0.0056704
140,24609.1,0.78144,0.47642,0.99003,0.96898,0.96617,0.98478,0.84167,0.66847,0.32381,0.91322,0.00561894,0.00561894,0.00561894
141,24788.2,0.78307,0.47679,0.99028,0.96913,0.96612,0.98482,0.84193,0.668,0.32362,0.91296,0.00556742,0.00556742,0.00556742
142,24966.2,0.77498,0.47155,0.98676,0.96925,0.96611,0.98492,0.84332,0.66755,0.32309,0.91276,0.00551584,0.00551584,0.00551584
143,25145.3,0.77441,0.47071,0.98601,0.96945,0.96605,0.98506,0.84285,0.66707,0.32274,0.91251,0.00546421,0.00546421,0.00546421
144,25323.6,0.77001,0.46493,0.98238,0.96933,0.9661,0.98507,0.84306,0.66637,0.32258,0.91221,0.00541253,0.00541253,0.00541253
145,25502.1,0.77331,0.47065,0.9861,0.96938,0.96613,0.98507,0.84441,0.66587,0.32222,0.91203,0.00536081,0.00536081,0.00536081
146,25680.7,0.77166,0.46917,0.98352,0.96945,0.96597,0.98514,0.84505,0.66524,0.32186,0.91177,0.00530906,0.00530906,0.00530906
147,25859.2,0.77038,0.47118,0.98583,0.96978,0.96608,0.98522,0.84501,0.66476,0.32159,0.9116,0.00525728,0.00525728,0.00525728
148,26037.6,0.77028,0.46903,0.98449,0.96941,0.96616,0.98524,0.84536,0.66414,0.3215,0.91137,0.00520548,0.00520548,0.00520548
149,26216.7,0.77161,0.47331,0.98313,0.96939,0.96609,0.98529,0.84586,0.66347,0.32132,0.91105,0.00515366,0.00515366,0.00515366
150,26396.1,0.76318,0.46401,0.98025,0.96955,0.96614,0.98526,0.84645,0.66299,0.32101,0.91087,0.00510184,0.00510184,0.00510184
151,26574.8,0.76636,0.4663,0.98242,0.96959,0.96617,0.98533,0.84658,0.66241,0.32084,0.91054,0.00505,0.00505,0.00505
152,26754.4,0.76376,0.46801,0.98196,0.96945,0.96625,0.98519,0.84627,0.66178,0.32048,0.91027,0.00499816,0.00499816,0.00499816
153,26933.4,0.75781,0.46046,0.97803,0.96911,0.96643,0.98512,0.84617,0.66115,0.32019,0.90999,0.00494634,0.00494634,0.00494634
154,27112.7,0.76241,0.46467,0.98198,0.97087,0.96503,0.9854,0.84649,0.66047,0.32006,0.90966,0.00489452,0.00489452,0.00489452
155,27291.9,0.75878,0.46262,0.97922,0.97068,0.96519,0.98528,0.84651,0.65993,0.31989,0.90947,0.00484272,0.00484272,0.00484272
156,27470.7,0.75487,0.46153,0.97945,0.97065,0.96518,0.98516,0.84668,0.6593,0.31954,0.90924,0.00479094,0.00479094,0.00479094
157,27650.1,0.75371,0.45861,0.97585,0.97069,0.96548,0.98518,0.84693,0.65877,0.31916,0.909,0.00473919,0.00473919,0.00473919
158,27829.5,0.75283,0.45541,0.97684,0.97039,0.96587,0.98513,0.84652,0.6582,0.31883,0.90884,0.00468747,0.00468747,0.00468747
159,28009.1,0.74692,0.45417,0.97353,0.97042,0.96602,0.98517,0.84709,0.65753,0.31834,0.90862,0.00463579,0.00463579,0.00463579
160,28188.4,0.753,0.45539,0.97679,0.97029,0.96608,0.98513,0.84727,0.65707,0.31802,0.90839,0.00458416,0.00458416,0.00458416
161,28368.5,0.748,0.45106,0.97437,0.96992,0.96645,0.98512,0.84732,0.65651,0.31781,0.90814,0.00453258,0.00453258,0.00453258
162,28548.2,0.7473,0.45177,0.97335,0.97004,0.96651,0.98513,0.84791,0.65595,0.31776,0.90783,0.00448106,0.00448106,0.00448106
163,28728.7,0.74776,0.45123,0.97422,0.97018,0.96685,0.98525,0.84813,0.65527,0.31734,0.9076,0.0044296,0.0044296,0.0044296
164,28909.1,0.74414,0.44957,0.97415,0.97016,0.96694,0.98546,0.8491,0.65475,0.31688,0.90738,0.00437821,0.00437821,0.00437821
165,29089.8,0.7411,0.44783,0.9721,0.97022,0.96736,0.9855,0.8493,0.65412,0.31645,0.90715,0.00432689,0.00432689,0.00432689
166,29269.6,0.74167,0.4475,0.96961,0.97018,0.96742,0.98558,0.84984,0.65357,0.31611,0.907,0.00427565,0.00427565,0.00427565
167,29450.8,0.73453,0.44144,0.9696,0.97052,0.9674,0.98563,0.8497,0.65299,0.31587,0.90671,0.00422449,0.00422449,0.00422449
168,29631.4,0.73964,0.44798,0.96984,0.97067,0.96733,0.98567,0.85025,0.6525,0.31588,0.90652,0.00417343,0.00417343,0.00417343
169,29813.1,0.73839,0.44446,0.97183,0.97078,0.96757,0.98575,0.85041,0.65183,0.31579,0.90633,0.00412246,0.00412246,0.00412246
170,29994.5,0.73258,0.44078,0.96833,0.97066,0.9674,0.98571,0.8509,0.65113,0.31559,0.90608,0.0040716,0.0040716,0.0040716
171,30175.5,0.72589,0.4357,0.96588,0.97077,0.96743,0.98566,0.85085,0.65056,0.3153,0.90587,0.00402084,0.00402084,0.00402084
172,30357.7,0.72506,0.43345,0.96299,0.97076,0.96754,0.9857,0.85077,0.65,0.31515,0.90572,0.00397019,0.00397019,0.00397019
173,30538.9,0.73545,0.44596,0.97052,0.97074,0.96748,0.98572,0.8513,0.6496,0.31501,0.90551,0.00391966,0.00391966,0.00391966
174,30720.4,0.72468,0.43484,0.96314,0.97075,0.96735,0.98573,0.85189,0.64904,0.31509,0.90527,0.00386926,0.00386926,0.00386926
175,30902.3,0.72743,0.43792,0.9683,0.97076,0.96721,0.98574,0.85223,0.64848,0.3146,0.90508,0.00381899,0.00381899,0.00381899
176,31084.4,0.72434,0.43493,0.96467,0.97086,0.96706,0.98573,0.85268,0.64799,0.31437,0.90486,0.00376885,0.00376885,0.00376885
177,31267.1,0.72189,0.43546,0.96193,0.97084,0.96705,0.98573,0.85356,0.64737,0.31418,0.90458,0.00371885,0.00371885,0.00371885
178,31449.7,0.7228,0.43768,0.96454,0.97083,0.96717,0.98574,0.85379,0.64685,0.31372,0.90435,0.00366899,0.00366899,0.00366899
179,31632,0.7199,0.43061,0.96323,0.97081,0.96718,0.98571,0.85366,0.64629,0.31321,0.90416,0.00361929,0.00361929,0.00361929
180,31813.9,0.71797,0.42995,0.9614,0.9708,0.9671,0.98581,0.85391,0.64582,0.31336,0.90399,0.00356975,0.00356975,0.00356975
181,31996.5,0.71532,0.42781,0.96036,0.97084,0.96704,0.98586,0.85458,0.64508,0.31347,0.90365,0.00352037,0.00352037,0.00352037
